2 2 he 2424.916 0 20210 21010 21840 23330 23640 24250 25280 25950 27420 0 0 0 2 2 1 1 0 1 2 1 1 0 0 0 0 0 0 0 1
3 3 li 14086.79 0 2186 3562.88 4312 5366 5650 15800 17985 21500 23000 1 3 0 2 2 1 3 2 0 4 1 1 1 1 1 1 1 0 0 1
4 4 be 4941.672 0 3030 11350 16626 16922 17640 18150 18910 19069 19235 0 2 4 2 2 1 1 2 3 3 1 1 1 1 1 1 1 0 1 1
5 5 b 12050.73 0 718.38 1740.05 2154.27 3587.13 4774 5110.3 5163.9 5182 5919.5 3 1 0 1 2 3 2 2 1 2 1 1 1 1 1 1 0 1 1 1
7 5 b 13368.9 0 953.14 1673.65 2620.8 2723 3389.1 3759 4301 4460 4518 1 2 2 1 0 3 2 1 2 4 1 1 0 0 1 0 1 0 0 0
5 6 c 10650.34 0 2000 4318.8 4804.2 6339.2 6478.2 6904.8 7400 7499.7 8104.5 1.5 0.5 2.5 1.5 0.5 3.5 2.5 1.5 1.5 1.5 0 0 0 0 1 0 1 1 1 0
8 6 c 3019.893 0 6093.8 6589.4 6728.2 6902.6 7012 7341 8317.9 9746 9801 0 1 0 3 0 2 2 2 0 3 1 0 1 0 0 1 0 1 1 0
6 7 n 5345.481 0 2364.9 3502 3547 6364 6886 7155 7376 7900 8918 0.5 0.5 1.5 2.5 2.5 1.5 3.5 2.5 1.5 0.5 0 1 0 1 1 1 1 0 1 0
7 7 n 2863.417 0 2312.798 3948.1 4915.1 5105.89 5691.44 5834.25 6203.5 6446.17 7029.12 1 0 1 0 2 1 3 1 3 2 1 1 1 0 0 0 0 1 1 1
8 7 n 101.4381 0 5270.155 5298.822 6323.78 7155.05 7300.83 7567.1 8312.62 8571.4 9049.71 0.5 2.5 0.5 1.5 2.5 1.5 3.5 0.5 1.5 0.5 0 1 1 0 1 1 1 1 1 1
7 8 o 2855.605 0 5183 5240.9 6176.3 6793.1 6859.4 7275.9 7556.5 8284 8743 0.5 0.5 2.5 1.5 1.5 2.5 3.5 0.5 1.5 0.5 0 1 1 0 1 1 1 1 1 1
8 8 o -4737 0 6049.4 6129.89 6917.1 7116.85 8871.9 9585 9844.5 10356 10957 0 0 3 2 1 2 1 2 4 0 1 1 0 1 0 0 0 1 1 0
10 7 n 7871.368 0 1373.9 1849.6 1906.8 2526 3128.9 3204.2 3628.7 3663 3906 0.5 1.5 0.5 2.5 2.5 3.5 1.5 3.5 0.5 1.5 0 0 1 0 1 0 0 0 0 0
10 8 o -781.522 0 1982.07 3554.84 3633.76 3920.44 4455.54 5097.78 5254.8 5336.4 5377.8 0 2 4 0 2 1 3 2 0 3 1 1 1 1 1 0 0 1 1 1
9 9 f 873.701 0 937.2 1041.55 1080.54 1121.36 1700.81 2100.61 2523.35 3061.84 3133.87 1 3 0 0 5 1 2 2 2 1 1 1 1 0 1 1 0 1 1 0
8 10 ne 5317.166 0 1887.3 3376.2 3576.3 3616.4 4519 4561 4590 5090 5146 0 2 4 0 2 1 3 0 2 2 1 1 1 1 1 0 1 1 1 1
10 9 f -1487.39 0 109.894 197.143 1345.67 1458.7 1554.038 2779.849 3908.17 3998.7 4032.5 0.5 0.5 2.5 2.5 1.5 1.5 4.5 1.5 3.5 4.5 1 0 1 0 0 1 1 1 0 0
9 10 ne 1751.44 0 238.27 275.09 1507.56 1536 1615.6 2794.7 4032.9 4140 4197.1 0.5 2.5 0.5 2.5 1.5 1.5 4.5 1.5 4.5 3.5 1 1 0 0 1 0 1 1 0 0
11 10 ne -5731.78 0 350.727 1745.91 2788.79 2794.17 2866.6 3663.57 3735.59 3883.96 4433.3 1.5 2.5 3.5 0.5 0.5 4.5 1.5 2.5 2.5 5.5 1 1 1 0 1 1 0 1 0 1
12 10 ne -8024.72 0 1274.537 3357.2 4456.2 5146 5329.6 5363.4 5523.3 5641.2 5910.1 0 2 4 2 2 1 2 4 3 3 1 1 1 1 0 1 1 1 1 0
10 11 na -2184.16 0 331.9 1716.1 2423.8 2797.9 2829.1 3544.3 3678.9 3862.2 4169.6 1.5 2.5 3.5 0.5 0.5 4.5 2.5 1.5 2.5 1.5 1 1 1 1 0 1 1 0 0 0
11 11 na -5182.44 0 583.05 657 890.89 1528.1 1936.9 1951.8 1983.5 2211.4 2571.5 3 1 0 4 5 1 2 3 1 2 1 1 1 1 1 1 1 1 0 0
12 11 na -9529.85 0 439.99 2076.011 2390.732 2639.85 2703.5 2982.06 3677.6 3848.069 3914.239 1.5 2.5 3.5 0.5 0.5 4.5 1.5 1.5 2.5 2.5 1 1 1 1 0 1 1 0 0 1
11 12 mg -5473.77 0 450.71 2052.2 2359 2714.7 2771 2908.1 3798 3864 3973 1.5 2.5 3.5 0.5 4.5 0.5 1.5 1.5 1.5 2.5 1 1 1 1 1 0 1 0 1 0
12 12 mg -13933.6 0 1368.672 4122.889 4238.24 5235.12 6010.84 6432.3 7349 7555.04 7616.47 0 2 4 2 3 4 0 2 1 3 1 1 1 1 1 1 1 1 0 0
11 13 al -56.946 0 425.8 511 1111 1275 1563 1638 2369 2546 2832 4 1 2 1 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1
13 12 mg -13192.8 0 585.045 974.756 1611.768 1964.624 2563.36 2737.8 2801.46 3405.06 3413.374 2.5 0.5 1.5 3.5 2.5 0.5 3.5 1.5 4.5 1.5 1 1 1 1 1 1 1 1 1 0
12 13 al -8916.17 0 451.7 944.9 1612.5 1789.5 2485.3 2673.3 2720.2 3062 3424.2 2.5 0.5 1.5 3.5 2.5 0.5 1.5 3.5 1.5 4.5 1 1 1 1 1 1 1 1 0 1
15 13 al -16850.4 0 30.6382 972.35 1013.637 1372.917 1620.3 1622.907 2138.91 2201.43 2271.745 3 2 0 3 1 1 2 2 1 4 1 1 1 1 1 1 1 1 1 1
13 14 si -12384.3 0 780.9 957.4 2163.6 2647.6 2866.3 2909.9 3540.2 3803.6 4138.1 2.5 0.5 1.5 3.5 2.5 1.5 4.5 0.5 1.5 0.5 1 1 1 1 1 1 1 1 1 0
14 14 si -21492.8 0 1779.03 4617.86 4979.92 6276.2 6690.74 6878.79 6887.65 7380.59 7416.26 0 2 4 0 3 0 3 4 2 2 1 1 1 1 1 1 0 1 1 1
16 13 al -18215.3 0 1398.05 1754.28 2224.1 2865.7 3061.81 3184.54 3433 3577.6 3641.5 2.5 0.5 3.5 1.5 1.5 2.5 2.5 0.5 4.5 2.5 1 1 1 1 1 1 1 1 1 1
16 14 si -24432.9 0 2235.322 3498.49 3769.48 3787.72 4810.31 4830.85 5231.38 5279.37 5372.2 0 2 2 1 0 2 3 3 4 0 1 1 1 1 1 1 1 1 1 1
14 15 p -16952.6 0 1383.55 1953.91 2422.7 3105.9 3447.6 4080.5 4343 4642 4759 0.5 1.5 2.5 1.5 2.5 3.5 3.5 1.5 3.5 0.5 1 1 1 1 1 0 1 0 1 1
16 15 p -24440.9 0 1266.13 2233.6 3134.3 3295 3414.6 3506.1 4190.9 4260.4 4431.2 0.5 1.5 2.5 0.5 2.5 3.5 1.5 2.5 1.5 3.5 1 1 1 1 1 1 1 1 1 0
15 16 s -19044.6 0 1248.87 2234.29 3077.26 3284.67 3351.3 3435.7 4080 4209.15 4450.65 0.5 1.5 2.5 0.5 2.5 3.5 1.5 1.5 0.5 3.5 1 1 1 1 1 1 1 1 1 0
16 16 s -26015.7 0 2230.57 3778.4 4281.8 4459.1 4695.3 5006.2 5412.6 5548.5 5796.8 0 2 0 2 4 1 3 3 2 1 1 1 1 1 1 1 0 1 1 0
18 16 s -29931.8 0 2127.564 3304.212 3916.408 4074.667 4114.813 4624.404 4688.98 4876.839 4882 0 2 2 0 1 2 3 4 3 4 1 1 1 1 1 1 0 1 1 1
16 17 cl -21003.4 0 810.55 1986.3 2352 2685.4 2839 2846.3 2975.4 3816.3 3971.2 1.5 0.5 2.5 1.5 2.5 2.5 1.5 3.5 2.5 1.5 1 1 1 1 0 1 0 1 1 1
17 17 cl -24439.8 0 146.36 461 665.56 1230.26 1887.14 1923.3 2158.05 2181.1 2376.5 0 3 1 1 2 2 0 2 3 4 1 1 1 1 1 1 1 1 1 1
19 16 s -28846.4 0 1572.378 1991.28 2347.789 2717 2938.64 3421.1 3558.09 3594.8 3675 1.5 0.5 3.5 1.5 2.5 1.5 2.5 1.5 0.5 0.5 1 1 0 0 1 1 1 0 1 0
18 17 cl -29013.5 0 1219.29 1763.04 2645.74 2693.75 3002.3 3162.8 3918.49 3943.82 3967.5 1.5 0.5 2.5 3.5 1.5 2.5 3.5 1.5 4.5 0.5 1 1 1 1 1 1 0 1 1 1
19 17 cl -29521.9 0 788.4328 1164.8799 1601.1034 1951.1853 1959.394 2468.259 2492.3035 2518.396 2676.44 2 3 1 1 2 2 3 2 5 1 1 1 1 1 0 1 0 1 0 1
17 18 ar -23047.4 0 1184.03 1750.7 2603.1 2638 2982.79 3196.9 3884 4012 4065 1.5 0.5 2.5 3.5 1.5 1.5 3.5 0.5 0.5 0.5 1 1 1 1 1 1 0 1 0 1
18 18 ar -30231.5 0 1970.38 4178.32 4329.1 4414.4 4440.11 4951.4 4974.05 5171.13 5194.4 0 2 3 0 4 2 2 2 5 0 1 1 0 1 1 1 1 0 0 1
19 18 ar -30947.7 0 1409.84 1611.28 2217 2490.17 2796.15 3170 3184.74 3273.58 3518.1 1.5 0.5 3.5 3.5 1.5 2.5 2.5 4.5 2.5 1.5 1 1 0 1 0 1 1 0 0 0
20 18 ar -34714.6 0 2167.64 3377.8 3810.16 3936.4 4479.96 4565.4 4585.86 4709.7 4877.04 0 2 0 3 2 4 2 5 0 3 1 1 1 0 1 0 1 0 1 0
19 19 k -28800.7 0 130.4 458.46 1697.84 2401.07 2613.06 2646.24 2827.5 2869.3 2993 3 0 1 1 2 3 4 1 2 0 1 1 1 1 1 0 0 0 0 0
